filename,relative_path,cluster_id,mood_id,mood_name_ko,mood_name_en,tags,color_tag,is_representative,source,notes
003e0ad2bc74.jpg,003e0ad2bc74.jpg,0,natural_wood,내추럴 우드,natural wood tone small room,"natural,wood",,False,ohou.se,
017ccbeb4150.jpg,017ccbeb4150.jpg,1,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
01a3a801d075.JPG,01a3a801d075.JPG,5,vintage_retro,빈티지 레트로,vintage retro small room,"vintage,retro",,False,ohou.se,
01c706b7aedb.jpg,01c706b7aedb.jpg,5,vintage_retro,빈티지 레트로,vintage retro small room,"vintage,retro",,False,ohou.se,
01e05d6e5746.jpg,01e05d6e5746.jpg,7,luxury_modern,럭셔리 모던,luxury modern studio apartment,"luxury,modern",,False,ohou.se,
025d1e5cf719.jpg,025d1e5cf719.jpg,1,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
03a6878d5ac7.jpeg,03a6878d5ac7.jpeg,5,vintage_retro,빈티지 레트로,vintage retro small room,"vintage,retro",,False,ohou.se,
047c255a30f5.jpeg,047c255a30f5.jpeg,5,vintage_retro,빈티지 레트로,vintage retro small room,"vintage,retro",,False,ohou.se,
04dc0a188a88.jpeg,04dc0a188a88.jpeg,7,luxury_modern,럭셔리 모던,luxury modern studio apartment,"luxury,modern",,False,ohou.se,
0535c682a607.png,0535c682a607.png,3,cute_pastel,파스텔 귀여운,cute pastel room decor,"cute,pastel",,False,ohou.se,
0598ff32dc66.jpg,0598ff32dc66.jpg,0,natural_wood,내추럴 우드,natural wood tone small room,"natural,wood",,False,ohou.se,
069951a66fea.jpg,069951a66fea.jpg,3,cute_pastel,파스텔 귀여운,cute pastel room decor,"cute,pastel",,False,ohou.se,
07240a43ecce.jpg,07240a43ecce.jpg,5,vintage_retro,빈티지 레트로,vintage retro small room,"vintage,retro",,False,ohou.se,
08f31336961b.jpg,08f31336961b.jpg,0,natural_wood,내추럴 우드,natural wood tone small room,"natural,wood",,True,ohou.se,
0c0337d36b21.jpg,0c0337d36b21.jpg,6,warm_cozy,따뜻한 코지 원룸,warm cozy studio apartment interior,"warm,cozy",,False,ohou.se,
0d9493debbc2.jpg,0d9493debbc2.jpg,0,natural_wood,내추럴 우드,natural wood tone small room,"natural,wood",,False,ohou.se,
0da58419da3d.jpg,0da58419da3d.jpg,0,natural_wood,내추럴 우드,natural wood tone small room,"natural,wood",,False,ohou.se,
0e071c3da348.jpg,0e071c3da348.jpg,5,vintage_retro,빈티지 레트로,vintage retro small room,"vintage,retro",,False,ohou.se,
0e0874214f0a.jpg,0e0874214f0a.jpg,3,cute_pastel,파스텔 귀여운,cute pastel room decor,"cute,pastel",,False,ohou.se,
0e84d6dc1ee1.jpg,0e84d6dc1ee1.jpg,2,bright_airy,밝은 에어리,bright airy open studio,"bright,airy",,False,ohou.se,
0eef370db811.png,0eef370db811.png,2,bright_airy,밝은 에어리,bright airy open studio,"bright,airy",,False,ohou.se,
0f0b1b12bc03.jpg,0f0b1b12bc03.jpg,1,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
0f646d643090.jpg,0f646d643090.jpg,6,warm_cozy,따뜻한 코지 원룸,warm cozy studio apartment interior,"warm,cozy",,False,ohou.se,
0f8dbd42a9ec.jpg,0f8dbd42a9ec.jpg,0,natural_wood,내추럴 우드,natural wood tone small room,"natural,wood",,False,ohou.se,
109a047ba562.jpeg,109a047ba562.jpeg,1,minimal_white,미니멀 화이트,minimal white scandinavian room,"minimal,white",,False,ohou.se,
11469e971dc9.jpg,11469e971dc9.jpg,4,monochrome_minimal,모노톤 미니멀,monochrome minimalist interior,"monochrome,minimal",,False,ohou.se,
1230a0fbb802.jpg,1230a0fbb802.jpg,3,cute_pastel,파스텔 귀여운,cute pastel room decor,"cute,pastel",,False,ohou.se,
12b6d7326831.jpg,12b6d7326831.jpg,4,monochrome_minimal,모노톤 미니멀,monochrome minimalist interior,"monochrome,minimal",,False,ohou.se,
